Asset Name,Last Week,This Week,Difference
ETH+ (Mainnet),494281.3,180914,-63.4
eUSD (Mainnet),2322726.44,1636301,-29.55
ETH+ (Arbitrum),1905391.45,1394882,-26.79
eUSD (Arbitrum),2448107.91,1924829,-21.37
eUSD (Base),2295535.28,1923923,-16.19
bsdETH (Base),3423707.25,3495018,2.08
hyUSD (Base),38792.42,29729,-23.36
